apk_name,metrics_type,TP,FP,TN,FN,Precision,Recall,F1_score,Time
com.trianguloy.isUserAMonkey,Layer1,15,148,41,0,0.092,1,0.1685,13630.8914
dnsfilter.android,Layer1,124,1236,82,0,0.0912,1,0.1671,17546.6387
eu.veldsoft.tuty.fruty.slot,Layer1,8,80,2,0,0.0909,1,0.1667,17700.8368
com.seyfal.whatsdown,Layer1,3174,32915,0,0,0.0879,1,0.1617,12604.6188
com.mkulesh.micromath.plus,Layer1,941,10543,2964,0,0.0819,1,0.1515,11176.1875
im.narayana.another,Layer1,4437,59657,0,0,0.0692,1,0.1295,18549.6502
fr.ralala.hexviewer,Layer1,631,9773,2318,0,0.0606,1,0.1144,17948.5997
com.gitlab.dibdib.dib2calc,Layer1,626,9738,2986,0,0.0604,1,0.1139,9620.7942
de.markusfisch.android.pielauncher,Layer1,40,647,64,0,0.0582,1,0.11,15276.3434
com.kolloware.hypezigapp,Layer1,587,9728,2066,0,0.0569,1,0.1077,10159.4698
com.cax.pmk.ext,Layer1,20,370,4,0,0.0513,1,0.0976,7746.5305
de.freehamburger,Layer1,1841,34643,5160,0,0.0505,1,0.0961,14917.8637
org.schabi.nxbookmarks,Layer1,1151,21736,3652,0,0.0503,1,0.0958,21780.6893
com.ath0.rpn,Layer1,9,175,0,0,0.0489,1,0.0933,7139.9998
com.indieweb.indigenous,Layer1,1272,25343,4047,0,0.0478,1,0.0912,9916.7843
me.robbyblue.mylauncher,Layer1,889,19397,3790,0,0.0438,1,0.084,19677.883
org.joinmastodon.android,Layer1,675,15019,1210,0,0.043,1,0.0825,21004.1432
com.github.xfalcon.vhosts,Layer1,314,7139,1903,0,0.0421,1,0.0809,9591.7964
com.inator.calculator,Layer1,999,22948,5224,0,0.0417,1,0.0801,9846.1864
hev.sockstun,Layer1,143,3294,373,0,0.0416,1,0.0799,18157.4429
com.leestarb.fourthtools,Layer1,993,23322,4666,0,0.0408,1,0.0785,10224.3615
com.plexer0.nitter,Layer1,809,19011,3680,0,0.0408,1,0.0784,11837.3441
cu.axel.smartdock,Layer1,837,19699,3779,0,0.0408,1,0.0783,14350.2209
systems.sieber.fsclock,Layer1,822,20801,3967,0,0.038,1,0.0732,24358.0612
com.wirelessalien.zipxtract,Layer1,829,21626,4254,0,0.0369,1,0.0712,14000.2957
dev.jdtech.jellyfin,Layer1,2289,59852,0,0,0.0368,1,0.0711,17438.4353
app.olauncher,Layer1,789,21101,4247,0,0.036,1,0.0696,2543.1223
com.github.shadowsocks.plugin.ck,Layer1,637,17518,2273,0,0.0351,1,0.0678,9572.6694
com.phstudio.darktheme,Layer1,772,21595,4425,0,0.0345,1,0.0667,11785.3489
com.haringeymobile.ukweather,Layer1,646,18959,3207,0,0.033,1,0.0638,9776.5011
com.jkuester.unlauncher,Layer1,632,20163,4077,0,0.0304,1,0.059,10037.8255
ru.ra66it.updaterforspotify,Layer1,744,24172,1763,0,0.0299,1,0.058,23854.7803
com.maxistar.textpad,Layer1,148,4926,502,0,0.0292,1,0.0567,11053.3331
corewala.gemini.buran,Layer1,575,19476,2298,0,0.0287,1,0.0558,14295.8739
com.markusborg.test,Layer1,128,4466,416,0,0.0279,1,0.0542,11039.4333
com.dosse.clock31,Layer1,4,161,1,0,0.0242,1,0.0473,8649.3223
com.tananaev.calculator,Layer1,123,5826,1417,0,0.0207,1,0.0405,13460.0563
com.gyorog.polycal,Layer1,273,17232,2390,0,0.0156,1,0.0307,9722.5165
org.scoutant.rpn,Layer1,181,13768,924,0,0.013,1,0.0256,21818.2031
org.sufficientlysecure.ical,Layer1,218,17020,1732,0,0.0126,1,0.025,22473.2398
org.asafonov.weather,Layer1,0,68,1,0,0,0,0,20456.3806
,,,,,,,,0.328832319,
com.quaap.launchtime,Layer2,4358,1758,6827,1553,0.7126,0.7373,0.7247,11924.6557
org.gdroid.gdroid,Layer2,10398,4588,15436,3904,0.6938,0.727,0.7101,20899.175
de.devmil.paperlaunch,Layer2,10516,4077,14713,5121,0.7206,0.6725,0.6957,14770.9579
com.example.muzei.muzeiapod,Layer2,3660,1703,5419,2046,0.6825,0.6414,0.6613,8798.8355
cat.mvmike.minimalcalendarwidget,Layer2,3844,2291,10347,2194,0.6266,0.6366,0.6316,4179.0658
me.haroldmartin.golwallpaper,Layer2,3739,2794,14775,1932,0.5723,0.6593,0.6127,19473.4762
app.clauncher,Layer2,3927,2663,14673,2476,0.5959,0.6133,0.6045,857.1618
de.mwarning.memento,Layer2,4382,2956,14012,2875,0.5972,0.6038,0.6005,16452.8575
org.jshobbysoft.cameraalign,Layer2,3964,2888,15225,2489,0.5785,0.6143,0.5959,21060.2433
de.devmil.muzei.bingimageofthedayartsource,Layer2,3130,1795,7957,2457,0.6355,0.5602,0.5955,14707.5101
org.nuclearfog.apollo,Layer2,4075,2731,14588,2819,0.5987,0.5911,0.5949,21375.7974
com.dijia1124.plusplusbattery,Layer2,3815,3295,19563,1947,0.5366,0.6621,0.5928,8536.652
com.asdoi.quicktiles,Layer2,3949,2901,14195,2545,0.5765,0.6081,0.5919,7137.292
com.byterdevs.rsswidget,Layer2,3849,2853,14708,2475,0.5743,0.6086,0.591,7597.4771
de.monocles.browser,Layer2,4042,2994,15072,2641,0.5745,0.6048,0.5893,16318.7298
com.stoutner.privacycell,Layer2,3878,2883,14171,2541,0.5736,0.6041,0.5885,13200.7482
peterfajdiga.fastdraw,Layer2,3865,2883,12764,2534,0.5728,0.604,0.588,23787.407
com.git.amarradi.leafpad,Layer2,3798,2817,12955,2536,0.5741,0.5996,0.5866,9433.8785
hu.vmiklos.plees,Layer2,3990,3005,14948,2645,0.5704,0.6014,0.5855,18215.4254
app.plugbrain.android,Layer2,7590,5855,23783,4986,0.5645,0.6035,0.5834,2940.0784
askanimus.arbeitszeiterfassung2,Layer2,4067,3031,15161,2851,0.573,0.5879,0.5803,3208.5749
com.phpbg.easysync,Layer2,3889,3624,19628,2016,0.5176,0.6586,0.5797,11727.5646
com.rabbittownsoftware.coinvert,Layer2,3631,3266,17503,2039,0.5265,0.6404,0.5779,11983.9917
com.flx,Layer2,7366,5394,23355,5380,0.5773,0.5779,0.5776,9231.3533
eu.veldsoft.fish.rings,Layer2,3337,2276,10102,2607,0.5945,0.5614,0.5775,17699.3509
org.grating.styncynotes,Layer2,7211,5677,22877,4875,0.5595,0.5966,0.5775,20967.8612
org.totschnig.ocr.tesseract,Layer2,3523,2727,15259,2456,0.5637,0.5892,0.5762,22649.9804
app.easy.launcher,Layer2,4184,3317,19016,2851,0.5578,0.5947,0.5757,1352.516
com.shezik.drawanywhere,Layer2,4008,3617,18841,2326,0.5256,0.6328,0.5743,12669.6828
page.ooooo.geoshare,Layer2,3811,3568,20953,2091,0.5165,0.6457,0.5739,23734.2283
me.mudkip.moememos,Layer2,7580,6014,26311,5267,0.5576,0.59,0.5734,19570.8571
io.keepalive.android,Layer2,3787,2844,16979,2803,0.5711,0.5747,0.5729,19214.7193
com.bily,Layer2,3864,3693,20328,2075,0.5113,0.6506,0.5726,7459.4611
com.roozbehzarei.filester,Layer2,7648,5186,21836,6250,0.5959,0.5503,0.5722,12229.537
